DH	INVJ	Xt	Mt	XMt	NDH
-0.0109366045877	0.5	0.0	0.0595	0.0313480278956	-29.1642789006
-4.8990127902	2.5	0.00186058050112	0.0593523939469	0.189264895147	-2612.80682144
-5.76155387225	2.5	0.0110946745562	0.0586198224852	0.34917013897	-3072.82873187
-5.82886643314	2.5	0.0202156334232	0.0578962264151	0.511101551619	-3108.72876434
-5.88931497796	2.5	0.029225523624	0.0571814417925	0.675097889194	-3140.96798824
-5.79855169008	2.5	0.0381263616558	0.056475308642	0.841198902559	-3092.56090137
-5.57020255084	2.5	0.0469201154957	0.0557776708373	1.00944536947	-2970.77469378
-5.01889604714	2.5	0.0556087060512	0.0550883759866	1.17987912794	-2676.74455848
-3.88678140589	2.5	0.0641940085592	0.054407275321	1.35254311094	-2072.95008314
-2.68718390712	2.5	0.0726778539352	0.0537342235878	1.52748138244	-1433.16475047
-1.70925512381	2.5	0.0810620300752	0.0530690789474	1.70473917491	-911.602732698
-1.09993221518	2.5	0.0893482831114	0.0524117028732	1.8843629283	-586.630514765
-0.81134746669	2.5	0.0975383186252	0.0517619600557	2.06640033062	-432.718648901
-0.628738630855	2.5	0.105633802817	0.0511197183099	2.25090036014	-335.327269789
-0.553746206662	2.5	0.113636363636	0.0504848484848	2.43791332932	-295.33131022
-0.444240656959	2.5	0.121547591874	0.049857224378	2.62749093055	-236.928350378
	--	0.129369042215	0.0492367226509	--
