DH	INVJ	Xt	Mt	XMt	NDH
-0.258363145894	0.5	0.0	0.0538	0.0392918590042	-607.913284455
-2.23102580007	2.0	0.00210865790127	0.0536665343587	0.197441345983	-1312.36811769
-3.00994143223	2.0	0.0104912367317	0.053135966428	0.357179875785	-1770.55378367
-3.28111070561	2.0	0.0187914517318	0.0526106116433	0.518531518739	-1930.06512095
-3.56616984993	2.0	0.0270105108775	0.0520903935468	0.681520833785	-2097.74697055
-3.71780047965	2.0	0.0351495986378	0.0515752371686	0.846172880941	-2186.94145862
-3.59556154636	2.0	0.0432098765432	0.0510650689906	1.01251323414	-2115.03620374
-3.23781800363	2.0	0.0511924837389	0.0505598169116	1.18056799449	-1904.59882566
-2.62604071643	2.0	0.059098537521	0.0500594102134	1.3503638039	-1544.72983319
-1.96873125648	2.0	0.0669291338583	0.0495637795276	1.52192785917	-1158.0772097
-1.37642010604	2.0	0.0746853478984	0.0490728568036	1.69528792653	-809.658885907
-1.02061066056	2.0	0.0823682344599	0.0485865752777	1.87047235662	-600.359212092
-0.75788749999	2.0	0.0899788285109	0.0481048694425	2.0475100999	-445.816176465
-0.572785108846	2.0	0.0975181456333	0.0476276750176	2.22643072267	-336.932416968
-0.468049245392	2.0	0.104987182475	0.047154928921	2.40726442346	-275.323085525
-0.41786742125	2.0	0.112386917189	0.0466865692415	2.59004205009	-245.804365441
-0.351110591229	2.0	0.119718309859	0.0462225352113	2.77479511716	-206.535641899
-0.308336537475	2.0	0.126982302919	0.04576276718	2.96155582419	-181.374433809
-0.289814184038	2.0	0.134179821551	0.0453072065889	3.15035707432	-170.478931787
-0.23070539556	2.0	0.141311774083	0.0448557959463	3.34123249363	-135.709056212
	--	0.148379052369	0.044408478803	--
