DH	INVJ	Xt	Mt	XMt	NDH
-0.0178904151323	0.5	0.0	0.0538	0.0306476500233	-53.9680697806
-1.62978045177	2.0	0.00164475316299	0.0536665343587	0.154004249867	-1229.09536333
-2.26734531772	2.0	0.0081831646507	0.053135966428	0.278600303113	-1709.91351261
-2.45954062703	2.0	0.0146573323508	0.0526106116433	0.404454584616	-1854.85718479
-2.62969501175	2.0	0.0210681984845	0.0520903935468	0.531586250353	-1983.17874189
-2.7930139072	2.0	0.0274166869375	0.0515752371686	0.660014847134	-2106.34532971
-2.83649489376	2.0	0.0337037037037	0.0510650689906	0.789760322632	-2139.13642063
-2.83709858353	2.0	0.0399301373163	0.0505598169116	0.920843035702	-2139.59169196
-2.6942621408	2.0	0.0460968592664	0.0500594102134	1.05328376704	-2031.87190106
-2.3644900186	2.0	0.0522047244094	0.0495637795276	1.18710373015	-1783.17497632
-1.93010433878	2.0	0.0582545713607	0.0490728568036	1.3223245827	-1455.58396589
-1.48998388548	2.0	0.0642472228788	0.0485865752777	1.45896843816	-1123.6680886
-1.10383885307	2.0	0.0701834862385	0.0481048694425	1.59705787792	-832.457656916
-0.840305743047	2.0	0.076064153594	0.0476276750176	1.73661596368	-633.714738346
-0.65733114015	2.0	0.0818900023305	0.047154928921	1.8776662503	-495.724841742
-0.518249181652	2.0	0.0876617954071	0.0466865692415	2.02023279907	-390.836486917
-0.399025980773	2.0	0.0933802816901	0.0462225352113	2.16434019139	-300.924570719
-0.364061804395	2.0	0.0990461962767	0.04576276718	2.31001354287	-274.556413571
-0.29843601032	2.0	0.10466026081	0.0453072065889	2.45727851797	-225.064864495
-0.258307005861	2.0	0.110223183785	0.0448557959463	2.60616134503	-194.801663545
	--	0.115735660848	0.044408478803	--
