DH	INVJ	Xt	Mt	XMt	NDH
-0.351438741106	0.5	0.0	0.0538	0.0217260867435	-1495.4840047
-1.55227305245	2.0	0.0011659637807	0.0536665343587	0.109173450132	-1651.35431111
-1.66289922503	2.0	0.00580103678104	0.053135966428	0.197499460728	-1769.04172876
-1.75145498552	2.0	0.0103905674282	0.0526106116433	0.286717428009	-1863.24998459
-1.85240398955	2.0	0.0149352236617	0.0520903935468	0.376840931622	-1970.64254208
-1.911393529	2.0	0.0194356604233	0.0515752371686	0.467883828285	-2033.39737127
-1.97497525868	2.0	0.023892519971	0.0510650689906	0.559860258879	-2101.03750924
-2.03490191699	2.0	0.028306432185	0.0505598169116	0.652784655777	-2164.78927339
-2.07349568289	2.0	0.0326780148645	0.0500594102134	0.746671750389	-2205.84647116
-2.01616118875	2.0	0.0370078740157	0.0495637795276	0.841536580952	-2144.85232846
-1.92283804637	2.0	0.041296604132	0.0490728568036	0.937394500554	-2045.57238975
-1.80605263899	2.0	0.0455447884661	0.0485865752777	1.03426118542	-1921.33259467
-1.59533832084	2.0	0.0497529992943	0.0481048694425	1.13215264348	-1697.16842642
-1.37269888229	2.0	0.0539217981737	0.0476276750176	1.23108522312	-1460.31795988
-1.14285903614	2.0	0.058051736192	0.047154928921	1.33107562239	-1215.80748525
-0.951211983234	2.0	0.0621433542102	0.0466865692415	1.43214089829	-1011.92764174
-0.772765862786	2.0	0.0661971830986	0.0462225352113	1.53429847655	-822.09134339
-0.611880986889	2.0	0.0702137439669	0.04576276718	1.63756616161	-650.937220094
-0.534010095841	2.0	0.0741935483871	0.0453072065889	1.74196214697	-568.09584664
-0.45292494297	2.0	0.0781370986108	0.0448557959463	1.84750502589	-481.835045713
	--	0.0820448877805	0.044408478803	--
