TITLE,170601_29uM-hA5_100uMEDTA_500uMCu
DATA TYPE,
ORIGIN,JASCO
OWNER,
DATE,17/06/01
TIME,17:50:17
SPECTROMETER/DATA SYSTEM,
LOCALE,1033
RESOLUTION,
DELTAX,-1
XUNITS,NANOMETERS
YUNITS,CD [mdeg]
Y2UNITS,HT [V]
FIRSTX,  250.0000
LASTX,  200.0000
NPOINTS,      51
FIRSTY,    -0.26982
MAXY,     8.75490
MINY,   -62.99614
XYDATA
250.0000,-0.269821,284.871
249.0000,-0.489351,285.34
248.0000,-0.695203,285.756
247.0000,-1.01668,286.189
246.0000,-1.44682,286.714
245.0000,-1.95932,287.22
244.0000,-2.60505,287.789
243.0000,-3.59255,288.432
242.0000,-4.73951,289.227
241.0000,-6.20058,290.158
240.0000,-7.97904,291.281
239.0000,-10.0508,292.654
238.0000,-12.5813,294.228
237.0000,-15.525,296.042
236.0000,-19.0694,298.042
235.0000,-23.0329,300.186
234.0000,-27.2276,302.411
233.0000,-31.8162,304.733
232.0000,-36.4354,307.034
231.0000,-41.285,309.432
230.0000,-45.7668,311.708
229.0000,-50.0582,314.127
228.0000,-54.0054,316.78
227.0000,-56.9463,319.374
226.0000,-59.6351,322
225.0000,-61.3732,324.747
224.0000,-62.3169,327.681
223.0000,-62.7836,330.88
222.0000,-62.5005,334.552
221.0000,-61.9395,338.704
220.0000,-60.5924,343.304
219.0000,-59.3452,348.22
218.0000,-58.1731,353.312
217.0000,-57.2372,358.708
216.0000,-56.5276,364.693
215.0000,-56.0369,371.352
214.0000,-55.8389,378.53
213.0000,-56.3668,386.486
212.0000,-57.5485,395.567
211.0000,-58.8756,405.955
210.0000,-61.3378,417.716
209.0000,-62.602,430.973
208.0000,-62.9961,446.068
207.0000,-61.2569,463.352
206.0000,-57.4928,482.9
205.0000,-51.7665,505.133
204.0000,-44.8969,530.609
203.0000,-35.4671,558.436
202.0000,-23.8046,588.524
201.0000,-8.18062,621.943
200.0000,8.7549,658.271

##### Extended Information
[Comments]
Sample name,170601_29uM-hA5_100uMEDTA_500uMCu
Comment
User
Division
Company,Univ. of Oregon

[Detailed Information]
Creation date,6/1/2017 5:50 PM

Data array type,Linear data array * 2
Horizontal axis,Wavelength [nm]
Vertical axis(1),CD [mdeg]
Vertical axis(2),HT [V]
Start,250 nm
End,200 nm
Data interval,1 nm
Data points,51      

[Measurement Information]
Instrument Name,Jasco CD
Model Name,J-815
Serial No.,B042061168

Accessory,MPTC-490S
Accessory S/N,B006861326
  Cell,1
  Temperature,25.01 C
  Control Sonsor,Holder
  Monitor Sensor,Holder
  Start Mode,Start immediately
  Cell Length,10 mm

Photometric Mode,CD, HT
Measure Range,250 - 200 nm
Data pitch,1 nm
Sensitivity,Standard
D.I.T.,4 sec
Bandwidth,1.00 nm
Start Mode,Immediately
Scanning Speed,10 nm/min
Baseline Correction,None
Shutter Control,Auto
PMT Voltage,Auto
No. of cycle,5/5
Concentration,5 umol/L

