WL,apoCD,apoMME,CaCD,CaMME,CuCD,CuMME,CaCuCD,CaCuMME,CuEDTACD,CuEDTAMME,CaCuEDTACD,CaCuEDTAMME
225,-54.78,-26695.9064327485,-67.469,-32879.6296296296,-61.3732,-29908.9668615984,-68.5355,-33399.3664717349,-53.952,-26292.3976608187,-54.354,-26488.3040935673
224,-55.6418,-27115.8869395712,-68.8722,-33563.4502923977,-62.3169,-30368.8596491228,-69.4758,-33857.6023391813,-54.7916,-26701.559454191,-55.1678,-26884.8927875244
223,-55.7929,-27189.522417154,-69.3955,-33818.469785575,-62.7836,-30596.2962962963,-70.3347,-34276.1695906433,-55.1593,-26880.7504873294,-55.42,-27007.7972709552
222,-55.3962,-26996.1988304094,-69.3374,-33790.1559454191,-62.5005,-30458.3333333333,-70.0928,-34158.2846003899,-54.8111,-26711.0623781676,-55.1929,-26897.1247563353
221,-55.0701,-26837.2807017544,-68.4095,-33337.962962963,-61.9395,-30184.9415204678,-69.2478,-33746.4912280702,-54.4392,-26529.8245614035,-54.4837,-26551.5107212476
220,-54.2182,-26422.1247563353,-67.2115,-32754.1423001949,-60.5924,-29528.4600389864,-67.9398,-33109.0643274854,-53.4753,-26060.0877192982,-53.8879,-26261.1598440546
219,-53.3821,-26014.6686159844,-65.59,-31963.9376218324,-59.3452,-28920.6627680312,-66.3021,-32310.9649122807,-52.7029,-25683.6744639376,-52.9748,-25816.179337232
218,-52.7687,-25715.7407407407,-64.2782,-31324.6588693957,-58.1731,-28349.4639376218,-65.0532,-31702.3391812866,-52.1079,-25393.7134502924,-52.4426,-25556.8226120858
217,-51.9846,-25333.6257309942,-63.4471,-30919.6393762183,-57.2372,-27893.3723196881,-63.8673,-31124.4152046784,-51.2996,-24999.8050682261,-51.5788,-25135.8674463938
216,-51.4578,-25076.9005847953,-62.5508,-30482.8460038986,-56.5276,-27547.5633528265,-63.1379,-30768.9571150097,-50.9524,-24830.604288499,-51.2901,-24995.1754385965
215,-51.1821,-24942.5438596491,-61.9698,-30199.7076023392,-56.0369,-27308.4307992203,-62.494,-30455.1656920078,-50.5811,-24649.6588693957,-50.6153,-24666.3255360624
214,-51.2858,-24993.0799220273,-61.3995,-29921.783625731,-55.8389,-27211.9395711501,-62.1493,-30287.1832358674,-50.5633,-24640.9844054581,-50.9457,-24827.3391812866
213,-52.0171,-25349.4639376218,-62.0994,-30262.865497076,-56.3668,-27469.2007797271,-62.5813,-30497.7095516569,-51.4274,-25062.0857699805,-51.5599,-25126.656920078
212,-53.1687,-25910.6725146199,-63.2561,-30826.559454191,-57.5485,-28045.0779727095,-63.8298,-31106.1403508772,-52.6803,-25672.6608187135,-52.4494,-25560.1364522417
211,-54.7813,-26696.5399610136,-64.9162,-31635.5750487329,-58.8756,-28691.8128654971,-65.2261,-31786.5984405458,-54.2532,-26439.1812865497,-53.971,-26301.656920078
