TITLE,170601_29uM-hA5_1.1mMEDTA_500uMCu
DATA TYPE,
ORIGIN,JASCO
OWNER,
DATE,17/06/01
TIME,17:50:33
SPECTROMETER/DATA SYSTEM,
LOCALE,1033
RESOLUTION,
DELTAX,-1
XUNITS,NANOMETERS
YUNITS,CD [mdeg]
Y2UNITS,HT [V]
FIRSTX,  250.0000
LASTX,  200.0000
NPOINTS,      51
FIRSTY,    -0.25639
MAXY,     2.57666
MINY,   -58.90209
XYDATA
250.0000,-0.25639,286.172
249.0000,-0.446036,286.775
248.0000,-0.647802,287.374
247.0000,-0.811612,288.001
246.0000,-1.25055,288.754
245.0000,-1.68473,289.506
244.0000,-2.19666,290.338
243.0000,-3.07901,291.271
242.0000,-4.10533,292.377
241.0000,-5.32935,293.617
240.0000,-6.89447,295.086
239.0000,-8.73204,296.803
238.0000,-10.9661,298.74
237.0000,-13.7313,300.929
236.0000,-16.8605,303.303
235.0000,-20.3818,305.838
234.0000,-24.1856,308.466
233.0000,-28.3474,311.183
232.0000,-32.3507,313.841
231.0000,-36.5656,316.626
230.0000,-40.6781,319.275
229.0000,-44.4129,322.085
228.0000,-47.6193,325.157
227.0000,-50.3022,328.153
226.0000,-52.4994,331.2
225.0000,-53.952,334.394
224.0000,-54.7916,337.836
223.0000,-55.1593,341.558
222.0000,-54.8111,345.73
221.0000,-54.4392,350.428
220.0000,-53.4753,355.511
219.0000,-52.7029,360.842
218.0000,-52.1079,366.427
217.0000,-51.2996,372.442
216.0000,-50.9524,379.05
215.0000,-50.5811,386.322
214.0000,-50.5633,394.182
213.0000,-51.4274,402.85
212.0000,-52.6803,412.72
211.0000,-54.2532,424.017
210.0000,-56.7077,436.79
209.0000,-57.6132,451.33
208.0000,-58.9021,467.99
207.0000,-57.582,486.95
206.0000,-54.1331,508.415
205.0000,-49.8486,532.559
204.0000,-43.1664,558.927
203.0000,-35.6606,587.031
202.0000,-25.4513,617.586
201.0000,-9.30206,651.495
200.0000,2.57666,684.586

##### Extended Information
[Comments]
Sample name,170601_29uM-hA5_1.1mMEDTA_500uMCu
Comment
User
Division
Company,Univ. of Oregon

[Detailed Information]
Creation date,6/1/2017 5:50 PM

Data array type,Linear data array * 2
Horizontal axis,Wavelength [nm]
Vertical axis(1),CD [mdeg]
Vertical axis(2),HT [V]
Start,250 nm
End,200 nm
Data interval,1 nm
Data points,51      

[Measurement Information]
Instrument Name,Jasco CD
Model Name,J-815
Serial No.,B042061168

Accessory,MPTC-490S
Accessory S/N,B006861326
  Cell,1
  Temperature,25.00 C
  Control Sonsor,Holder
  Monitor Sensor,Holder
  Start Mode,Start immediately
  Cell Length,10 mm

Photometric Mode,CD, HT
Measure Range,250 - 200 nm
Data pitch,1 nm
Sensitivity,Standard
D.I.T.,4 sec
Bandwidth,1.00 nm
Start Mode,Immediately
Scanning Speed,10 nm/min
Baseline Correction,None
Shutter Control,Auto
PMT Voltage,Auto
No. of cycle,5/5
Concentration,5 umol/L

