DH	INVJ	Xt	Mt	XMt	NDH
-0.241054593276	0.5	0.0	0.0538	0.0171035150959	-1302.99780149
-1.16628485252	2.0	0.000917886380551	0.0536665343587	0.0859450564868	-1576.06061152
-1.29191291654	2.0	0.00456677363614	0.053135966428	0.155478298871	-1745.82826559
-1.35890194682	2.0	0.00817980840088	0.0526106116433	0.225713719922	-1836.35398219
-1.40860266685	2.0	0.0117575164996	0.0520903935468	0.296662010001	-1903.51711736
-1.47899975079	2.0	0.0153004135247	0.0515752371686	0.368334077586	-1998.64831188
-1.48991958292	2.0	0.0188090050835	0.0510650689906	0.440741054862	-2013.40484178
-1.58130889311	2.0	0.0222837870393	0.0505598169116	0.513894303484	-2136.9039096
-1.65056781203	2.0	0.0257252457444	0.0500594102134	0.587805420519	-2230.49704329
-1.61356317729	2.0	0.0291338582677	0.0495637795276	0.662486244579	-2180.49078012
-1.62295070384	2.0	0.0325100926146	0.0490728568036	0.737948862138	-2193.17662681
-1.60349943388	2.0	0.0358544079414	0.0485865752777	0.814205614058	-2166.89112686
-1.55012879127	2.0	0.0391672547636	0.0481048694425	0.891269102311	-2094.76863685
-1.5055949531	2.0	0.042449075158	0.0476276750176	0.969152196926	-2034.58777445
-1.35328731551	2.0	0.0457003029597	0.047154928921	1.04786804315	-1828.76664259
-1.21766360948	2.0	0.0489213639527	0.0466865692415	1.12743006886	-1645.49136416
-1.05167526411	2.0	0.0521126760563	0.0462225352113	1.20785199218	-1421.18278934
-0.924007464414	2.0	0.0552746495059	0.04576276718	1.28914782935	-1248.6587357
-0.800764405327	2.0	0.0584076870281	0.0453072065889	1.37133190294	-1082.11406125
-0.674420362226	2.0	0.0615121840128	0.0448557959463	1.45441885017	-911.378867872
	--	0.0645885286783	0.044408478803	--
