DH	INVJ	Xt	Mt	XMt	NDH
0.00725036438289	0.5	0.0	0.06	0.0310867943298	19.334305021
-5.8088773278	2.5	0.00186058050112	0.0598511535599	0.187687687688	-3098.06790816
-6.96871943557	2.5	0.0110946745562	0.0591124260355	0.346260387812	-3716.65036564
-6.99457701002	2.5	0.0202156334232	0.0583827493261	0.506842372022	-3730.44107201
-6.9700407094	2.5	0.029225523624	0.0576619581101	0.669472073451	-3717.35504501
-6.612397121	2.5	0.0381263616558	0.0569498910675	0.834188911704	-3526.61179787
-5.87971743813	2.5	0.0469201154957	0.0562463907603	1.00103332472	-3135.84930033
-4.46894443751	2.5	0.0556087060512	0.0555513035159	1.17004680187	-2383.43703334
-2.60921460877	2.5	0.0641940085592	0.0548644793153	1.34127191835	-1391.58112468
-1.48976922975	2.5	0.0726778539352	0.0541857716852	1.51475237092	-794.543589199
-1.00063966762	2.5	0.0810620300752	0.053515037594	1.69053301512	-533.674489399
-0.732130919389	2.5	0.0893482831114	0.0528521373511	1.8686599039	-390.469823674
-0.603226412104	2.5	0.0975383186252	0.05219693451	2.04918032787	-321.720753122
-0.497673341701	2.5	0.105633802817	0.0515492957746	2.23214285714	-265.425782241
-0.437035451692	2.5	0.113636363636	0.0509090909091	2.41759738491	-233.085574236
-0.367472497599	2.5	0.121547591874	0.0502761926501	2.60559517279	-195.985332053
	--	0.129369042215	0.0496504766228	--
